Job Title,Company,Location,Industry,Min Salary LPA,Max Salary LPA,Work Arrangement,Skills
BI Analyst,Yubi,Guindy,FinTech,6.9,11.3,Remote,SQL;Power BI;DAX;Excel;ETL
BI Analyst,HDFC Bank,Guindy,BFSI,6.8,11.0,On-site,SQL;Power BI;DAX;Excel;Risk Analytics
BI Analyst,ICICI Bank,Nungambakkam,BFSI,6.7,10.9,Hybrid,SQL;Power BI;DAX;Excel;Risk Analytics
BI Analyst,Axis Bank,Guindy,BFSI,6.6,10.6,Hybrid,SQL;Power BI;DAX;Excel;Risk Analytics
BI Analyst,Razorpay,Taramani,FinTech,7.0,11.6,Hybrid,SQL;Power BI;DAX;Excel;Product Analytics
BI Analyst,Tiger Analytics,Taramani,Consulting,7.2,12.0,Hybrid,SQL;Power BI;DAX;Excel;ETL;PowerPoint
BI Analyst,Deloitte,Guindy,Consulting,7.0,11.8,Remote,SQL;Power BI;DAX;Excel;ETL;PowerPoint
BI Analyst,Mu Sigma,Taramani,Consulting,6.7,10.9,On-site,SQL;Power BI;DAX;Excel;ETL
BI Analyst,Accenture,Perungudi,Consulting,6.8,11.1,Hybrid,SQL;Power BI;DAX;Excel
BI Analyst,TVS Motor,Guindy,Automotive,6.5,10.2,On-site,SQL;Power BI;DAX;Excel;Process Mapping
Product Analyst,Zoho,Sholinganallur,SaaS,7.1,11.8,On-site,SQL;Python;Excel;A/B Testing;Product Analytics;Tableau
Product Analyst,Freshworks,Taramani,SaaS,7.4,12.5,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Chargebee,OMR,SaaS,7.2,12.2,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics;Statistics
Product Analyst,Kissflow,Taramani,SaaS,7.0,11.9,Remote,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Razorpay,Perungudi,FinTech,7.6,12.8,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Yubi,Guindy,FinTech,7.3,12.1,Remote,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Myntra,OMR,E-commerce,7.4,12.6,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Swiggy,Perungudi,E-commerce,7.6,12.9,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Amazon,OMR,E-commerce,7.9,13.4,Remote,SQL;Python;Excel;A/B Testing;Product Analytics;Tableau
Product Analyst,Flipkart,Perungudi,E-commerce,7.5,12.8,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Tiger Analytics,Taramani,Consulting,7.4,12.2,Hybrid,SQL;Python;Excel;A/B Testing;PowerPoint
Product Analyst,Deloitte,Guindy,Consulting,7.8,13.0,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Accenture,Taramani,Consulting,7.1,11.8,On-site,SQL;Python;Excel;A/B Testing
Product Analyst,Axis Bank,Guindy,BFSI,7.0,11.2,On-site,SQL;Python;Excel;A/B Testing;Risk Analytics
Product Analyst,HDFC Bank,Nungambakkam,BFSI,7.2,11.5,Hybrid,SQL;Python;Excel;A/B Testing;Risk Analytics
Product Analyst,ICICI Bank,Guindy,BFSI,7.0,11.3,Hybrid,SQL;Python;Excel;A/B Testing;Risk Analytics
Product Analyst,TVS Motor,Perungudi,Automotive,6.9,11.0,On-site,SQL;Python;Excel;A/B Testing;Process Mapping
Product Analyst,Practo,Taramani,Healthcare,7.0,11.4,Hybrid,SQL;Python;Excel;A/B Testing;Product Analytics
Product Analyst,Apollo Hospitals,Guindy,Healthcare,6.8,10.9,On-site,SQL;Python;Excel;A/B Testing
Senior Business Analyst,Freshworks,Sholinganallur,SaaS,11.2,17.5,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira;Process Mapping
Senior Business Analyst,Zoho,OMR,SaaS,10.8,16.8,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira
Senior Business Analyst,Razorpay,Taramani,FinTech,11.0,17.2,Remote,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira;Process Mapping
Senior Business Analyst,Yubi,Guindy,FinTech,10.6,16.5,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira
Senior Business Analyst,Amazon,OMR,E-commerce,11.5,18.0,Remote,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira;Process Mapping
Senior Business Analyst,Flipkart,Perungudi,E-commerce,10.9,17.1,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira
Senior Business Analyst,Tiger Analytics,Taramani,Consulting,11.4,18.2,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira;Process Mapping
Senior Business Analyst,Deloitte,Guindy,Consulting,11.8,18.5,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira;PowerPoint
Senior Business Analyst,TCS,OMR,IT Services,10.4,16.0,On-site,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira
Senior Business Analyst,Cognizant,Guindy,IT Services,10.2,15.7,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira
Senior Business Analyst,Infosys,Perungudi,IT Services,10.0,15.5,On-site,SQL;Excel;Stakeholder Management;Requirements Gathering;Process Mapping
Senior Business Analyst,Accenture,Taramani,Consulting,10.7,16.4,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira
Senior Business Analyst,HDFC Bank,Guindy,BFSI,10.3,15.9,Hybrid,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile
Senior Business Analyst,ICICI Bank,Nungambakkam,BFSI,10.1,15.6,On-site,SQL;Excel;Stakeholder Management;Requirements Gathering;Agile;Jira
""
